,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Washington Redskins*,14,2,.875,485,224,261,16.3,0.3,16.6,11.7,4.9
2,Dallas Cowboys+,11,5,.688,342,310,32,2.0,2.4,4.4,3.7,0.8
3,Philadelphia Eagles,10,6,.625,285,244,41,2.6,2.1,4.7,-0.3,5.0
4,New York Giants,8,8,.500,281,297,-16,-1.0,2.0,1.0,-0.6,1.5
5,Phoenix Cardinals,4,12,.250,196,344,-148,-9.3,3.8,-5.4,-4.9,-0.5
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Detroit Lions*,12,4,.750,339,295,44,2.8,-1.8,1.0,0.9,0.0
8,Chicago Bears+,11,5,.688,299,269,30,1.9,-1.0,0.8,-1.2,2.0
9,Minnesota Vikings,8,8,.500,301,306,-5,-0.3,-1.7,-2.0,-0.2,-1.8
10,Green Bay Packers,4,12,.250,273,313,-40,-2.5,-2.3,-4.8,-3.3,-1.4
11,Tampa Bay Buccaneers,3,13,.188,199,365,-166,-10.4,-0.8,-11.1,-7.0,-4.2
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,New Orleans Saints*,11,5,.688,341,211,130,8.1,0.9,9.0,2.8,6.3
14,Atlanta Falcons+,10,6,.625,361,338,23,1.4,2.0,3.4,4.7,-1.3
15,San Francisco 49ers,10,6,.625,393,239,154,9.6,1.2,10.9,6.6,4.3
16,Los Angeles Rams,3,13,.188,234,390,-156,-9.8,3.7,-6.0,-2.6,-3.4
