,Tm,W,L,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
0,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East,NFC East
1,Dallas Cowboys*,13,3,.813,409,243,166,10.4,-0.4,10.0,6.4,3.6
2,Philadelphia Eagles+,11,5,.688,354,245,109,6.8,2.1,8.9,4.8,4.1
3,Washington Redskins+,9,7,.563,300,255,45,2.8,1.6,4.4,0.7,3.8
4,New York Giants,6,10,.375,306,367,-61,-3.8,2.0,-1.8,1.6,-3.4
5,Phoenix Cardinals,4,12,.250,243,332,-89,-5.6,2.5,-3.1,-2.9,-0.1
6,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central,NFC Central
7,Minnesota Vikings*,11,5,.688,374,249,125,7.8,-0.1,7.7,4.4,3.3
8,Green Bay Packers,9,7,.563,276,296,-20,-1.3,-0.3,-1.6,-2.6,1.0
9,Tampa Bay Buccaneers,5,11,.313,267,365,-98,-6.1,0.3,-5.9,-2.0,-3.9
10,Chicago Bears,5,11,.313,295,361,-66,-4.1,0.6,-3.5,-0.2,-3.3
11,Detroit Lions,5,11,.313,273,332,-59,-3.7,1.8,-1.9,-0.7,-1.1
12,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West,NFC West
13,San Francisco 49ers*,14,2,.875,431,236,195,12.2,-0.4,11.8,7.3,4.5
14,New Orleans Saints+,12,4,.750,330,202,128,8.0,-0.2,7.8,0.7,7.1
15,Atlanta Falcons,6,10,.375,327,414,-87,-5.4,1.4,-4.1,2.3,-6.4
16,Los Angeles Rams,6,10,.375,313,383,-70,-4.4,1.5,-2.9,1.1,-4.0
