,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1961,1961-09-17,1,1,21.226,MIN,,CHI,W 37-13,,17,23,73.91,250,4,0,148.6,1,15,10.87,14.35,4,11,2.75,1,,,,,1,6,Fran Tarkenton,TarkFr00
1,2,1961,1961-09-24,2,2,21.233,MIN,@,DAL,L 7-21,*,8,24,33.33,117,0,2,15.5,3,33,4.88,1.13,2,11,5.50,0,,,,,0,0,Fran Tarkenton,TarkFr00
2,3,1961,1961-10-08,4,4,21.247,MIN,,DAL,L 0-28,,10,21,47.62,151,0,2,32.1,5,47,7.19,2.90,1,-4,-4.00,0,,,,,0,0,Fran Tarkenton,TarkFr00
3,4,1961,1961-10-15,5,5,21.254,MIN,,SFO,L 24-38,,6,11,54.55,48,0,0,65.7,5,43,4.36,4.36,2,12,6.00,0,,,,,0,0,Fran Tarkenton,TarkFr00
4,5,1961,1961-10-22,6,6,21.261,MIN,,GNB,L 7-33,*,15,24,62.50,130,0,3,37.2,,,5.42,-0.21,6,22,3.67,1,,,,,1,6,Fran Tarkenton,TarkFr00
5,6,1961,1961-10-29,7,7,21.268,MIN,@,GNB,L 10-28,*,1,6,16.67,19,0,0,40.3,,,3.17,3.17,1,13,13.00,0,,,,,0,0,Fran Tarkenton,TarkFr00
6,7,1961,1961-11-05,8,8,21.275,MIN,@,RAM,L 17-31,*,12,19,63.16,156,1,1,84.5,2,10,8.21,6.89,11,99,9.00,1,,,,,1,6,Fran Tarkenton,TarkFr00
7,8,1961,1961-11-12,9,9,21.282,MIN,,BAL,W 28-20,*,11,18,61.11,179,1,1,89.8,4,53,9.94,8.56,11,58,5.27,1,,,,,1,6,Fran Tarkenton,TarkFr00
8,9,1961,1961-11-19,10,10,21.289,MIN,,DET,L 10-37,*,13,24,54.17,116,1,2,46.5,6,59,4.83,1.92,3,14,4.67,0,,,,,0,0,Fran Tarkenton,TarkFr00
9,10,1961,1961-11-26,11,11,21.296,MIN,@,SFO,L 28-38,*,16,24,66.67,277,2,1,116.1,3,34,11.54,11.33,2,2,1.00,1,,,,,1,6,Fran Tarkenton,TarkFr00
10,11,1961,1961-12-03,12,12,21.303,MIN,,RAM,W 42-21,*,21,30,70.00,252,4,1,121.1,3,21,8.40,9.57,6,32,5.33,0,,,,,0,0,Fran Tarkenton,TarkFr00
11,12,1961,1961-12-10,13,13,21.310,MIN,@,DET,L 7-13,*,15,34,44.12,141,1,3,29.2,1,6,4.15,0.76,5,42,8.40,0,,,,,0,0,Fran Tarkenton,TarkFr00
12,13,1961,1961-12-17,14,14,21.317,MIN,@,CHI,L 35-52,*,12,22,54.55,161,4,1,98.7,8,104,7.32,8.91,2,-4,-2.00,0,,,,,0,0,Fran Tarkenton,TarkFr00
13,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Fran Tarkenton,TarkFr00
