,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
0,1.0,St. Louis Rams,16.0,526.0,6412.0,994.0,6.5,31.0,16.0,335.0,343.0,530.0,4353.0,42.0,15.0,7.7,207.0,431.0,2059.0,13.0,4.8,102.0,113.0,889.0,26.0,39.9,15.4
1,2.0,Washington Redskins,16.0,443.0,5965.0,1031.0,5.8,25.0,11.0,338.0,324.0,537.0,3926.0,26.0,14.0,6.9,183.0,463.0,2039.0,23.0,4.4,121.0,104.0,808.0,34.0,35.1,11.4
2,3.0,Indianapolis Colts,16.0,423.0,5726.0,979.0,5.8,28.0,11.0,327.0,338.0,546.0,4066.0,26.0,17.0,7.3,200.0,419.0,1660.0,15.0,4.0,89.0,81.0,683.0,38.0,40.9,15.1
3,4.0,Carolina Panthers,16.0,421.0,5686.0,982.0,5.8,34.0,19.0,307.0,345.0,575.0,4161.0,36.0,15.0,6.6,208.0,356.0,1525.0,12.0,4.3,78.0,106.0,857.0,21.0,38.0,15.1
4,5.0,Minnesota Vikings,16.0,399.0,5793.0,995.0,5.8,40.0,19.0,324.0,316.0,530.0,3989.0,32.0,21.0,7.0,192.0,422.0,1804.0,13.0,4.3,96.0,114.0,955.0,36.0,34.4,18.8
5,6.0,Jacksonville Jaguars,16.0,396.0,5586.0,1085.0,5.1,18.0,7.0,331.0,320.0,535.0,3495.0,16.0,11.0,6.1,194.0,514.0,2091.0,20.0,4.1,116.0,90.0,755.0,21.0,35.6,9.0
6,7.0,Tennessee Titans,16.0,392.0,5296.0,1011.0,5.2,22.0,9.0,294.0,304.0,527.0,3485.0,23.0,13.0,6.3,167.0,459.0,1811.0,19.0,3.9,109.0,114.0,1069.0,18.0,31.3,10.9
7,8.0,Kansas City Chiefs,16.0,390.0,5321.0,1049.0,5.1,24.0,9.0,282.0,295.0,502.0,3239.0,22.0,15.0,6.1,164.0,521.0,2082.0,14.0,4.0,108.0,126.0,982.0,10.0,27.1,11.0
8,9.0,Oakland Raiders,16.0,390.0,5693.0,1057.0,5.4,29.0,15.0,326.0,306.0,520.0,3609.0,24.0,14.0,6.3,196.0,488.0,2084.0,18.0,4.3,110.0,98.0,825.0,20.0,34.5,12.9
9,10.0,Green Bay Packers,16.0,357.0,5419.0,1027.0,5.3,36.0,13.0,314.0,344.0,605.0,3900.0,23.0,23.0,6.1,196.0,386.0,1519.0,13.0,3.9,87.0,100.0,808.0,31.0,31.6,18.1
10,11.0,Dallas Cowboys,16.0,352.0,5178.0,1024.0,5.1,23.0,10.0,295.0,295.0,507.0,3127.0,20.0,13.0,5.9,139.0,493.0,2051.0,16.0,4.2,129.0,136.0,1196.0,27.0,27.6,11.7
11,12.0,Seattle Seahawks,16.0,338.0,4805.0,971.0,4.9,33.0,17.0,276.0,288.0,525.0,3397.0,25.0,16.0,6.0,179.0,408.0,1408.0,5.0,3.5,65.0,98.0,883.0,32.0,32.7,15.3
12,13.0,Miami Dolphins,16.0,326.0,4938.0,1071.0,4.6,34.0,13.0,287.0,329.0,589.0,3485.0,20.0,21.0,5.6,188.0,445.0,1453.0,8.0,3.3,81.0,111.0,936.0,18.0,32.4,15.5
13,14.0,Baltimore Ravens,16.0,324.0,4778.0,1033.0,4.6,31.0,11.0,259.0,270.0,546.0,3024.0,21.0,20.0,5.0,148.0,431.0,1754.0,9.0,4.1,87.0,125.0,1010.0,24.0,26.7,13.8
14,15.0,Detroit Lions,16.0,322.0,4931.0,978.0,5.0,22.0,8.0,269.0,326.0,558.0,3686.0,22.0,14.0,5.9,179.0,356.0,1245.0,8.0,3.5,67.0,110.0,995.0,23.0,29.2,10.4
15,16.0,Buffalo Bills,16.0,320.0,5333.0,1059.0,5.0,27.0,11.0,313.0,290.0,513.0,3293.0,21.0,16.0,6.1,173.0,519.0,2040.0,12.0,3.9,117.0,97.0,789.0,23.0,30.5,14.2
16,17.0,Pittsburgh Steelers,16.0,317.0,4874.0,1067.0,4.6,25.0,7.0,295.0,301.0,535.0,2883.0,19.0,18.0,5.0,159.0,495.0,1991.0,14.0,4.0,111.0,119.0,945.0,25.0,29.0,12.0
17,18.0,Denver Broncos,16.0,314.0,5283.0,1053.0,5.0,28.0,10.0,308.0,319.0,554.0,3419.0,16.0,18.0,5.8,168.0,465.0,1864.0,13.0,4.0,107.0,114.0,872.0,33.0,29.9,13.9
18,19.0,New York Jets,16.0,308.0,4752.0,999.0,4.8,22.0,6.0,268.0,272.0,476.0,2791.0,22.0,16.0,5.4,139.0,486.0,1961.0,7.0,4.0,111.0,87.0,771.0,18.0,29.3,10.5
19,20.0,New York Giants,16.0,299.0,5127.0,1075.0,4.8,32.0,12.0,308.0,350.0,602.0,3719.0,17.0,20.0,5.8,197.0,431.0,1408.0,11.0,3.3,87.0,98.0,906.0,24.0,26.8,16.2
20,21.0,New England Patriots,16.0,299.0,5062.0,1021.0,5.0,33.0,12.0,280.0,305.0,540.0,3636.0,19.0,21.0,6.1,184.0,425.0,1426.0,9.0,3.4,72.0,95.0,812.0,24.0,26.2,15.5
21,22.0,San Francisco 49ers,16.0,295.0,5380.0,1012.0,5.3,32.0,13.0,300.0,324.0,560.0,3285.0,14.0,19.0,5.5,172.0,418.0,2095.0,14.0,5.0,102.0,120.0,1045.0,26.0,26.9,15.9
22,23.0,Atlanta Falcons,16.0,285.0,4542.0,931.0,4.9,35.0,16.0,273.0,278.0,509.0,3346.0,22.0,19.0,6.0,179.0,373.0,1196.0,9.0,3.2,68.0,110.0,968.0,26.0,25.0,17.4
23,24.0,Cincinnati Bengals,16.0,283.0,5277.0,1039.0,5.1,32.0,14.0,293.0,300.0,548.0,3226.0,18.0,18.0,5.4,161.0,442.0,2051.0,11.0,4.6,111.0,126.0,1027.0,21.0,24.4,13.5
24,25.0,Philadelphia Eagles,16.0,272.0,3830.0,947.0,4.0,39.0,21.0,218.0,235.0,474.0,2084.0,18.0,18.0,4.0,123.0,424.0,1746.0,5.0,4.1,76.0,102.0,905.0,19.0,21.5,17.1
25,26.0,Chicago Bears,16.0,272.0,5523.0,1118.0,4.9,37.0,15.0,302.0,404.0,684.0,4136.0,25.0,22.0,5.7,203.0,396.0,1387.0,4.0,3.5,82.0,117.0,915.0,17.0,23.4,17.6
26,27.0,Tampa Bay Buccaneers,16.0,270.0,4254.0,991.0,4.3,35.0,19.0,245.0,268.0,447.0,2478.0,18.0,16.0,5.1,132.0,502.0,1776.0,7.0,3.5,97.0,75.0,583.0,16.0,25.2,16.0
27,28.0,San Diego Chargers,16.0,269.0,4589.0,1039.0,4.4,35.0,11.0,262.0,332.0,583.0,3343.0,12.0,24.0,5.3,171.0,410.0,1246.0,10.0,3.0,69.0,104.0,823.0,22.0,27.0,17.3
28,29.0,New Orleans Saints,16.0,260.0,4983.0,1055.0,4.7,39.0,9.0,288.0,288.0,553.0,3293.0,16.0,30.0,5.5,159.0,461.0,1690.0,9.0,3.7,97.0,110.0,877.0,32.0,24.3,18.8
29,30.0,Arizona Cardinals,16.0,245.0,4010.0,999.0,4.0,40.0,10.0,254.0,287.0,558.0,2803.0,11.0,30.0,4.6,150.0,396.0,1207.0,13.0,3.0,77.0,70.0,481.0,27.0,20.8,18.8
30,31.0,Cleveland Browns,16.0,217.0,3762.0,865.0,4.3,31.0,16.0,220.0,271.0,492.0,2612.0,19.0,15.0,4.7,134.0,313.0,1150.0,9.0,3.7,64.0,92.0,714.0,22.0,19.6,12.5
31,,Avg Team,,333.0,5100.3,1018.0,5.0,30.7,12.6,290.0,308.6,540.6,3396.4,21.5,18.1,5.8,172.4,437.0,1703.8,11.7,3.9,93.3,105.2,873.7,24.3,29.2,14.6
32,,League Total,,10324.0,158108.0,31557.0,5.0,952.0,390.0,8991.0,9567.0,16760.0,105289.0,665.0,562.0,5.8,5344.0,13548.0,52819.0,363.0,3.9,2893.0,3262.0,27084.0,754.0,29.2,14.6
33,,Avg Tm/G,,20.8,318.8,63.6,5.0,1.9,0.8,18.1,19.3,33.8,212.3,1.3,1.1,5.8,10.8,27.3,106.5,0.7,3.9,5.8,6.6,54.6,1.5,29.2,14.6
