,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
0,1.0,Kansas City Chiefs,16.0,484.0,5910.0,1003.0,5.9,18.0,6.0,348.0,339.0,536.0,3981.0,24.0,12.0,7.1,201.0,446.0,1929.0,32.0,4.3,120.0,79.0,698.0,27.0,38.3,8.5,36.78
1,2.0,St. Louis Rams,16.0,447.0,5457.0,1054.0,5.2,39.0,16.0,335.0,377.0,600.0,3961.0,23.0,23.0,6.2,211.0,411.0,1496.0,19.0,3.6,97.0,92.0,667.0,27.0,41.1,16.8,-159.0
2,3.0,Indianapolis Colts,16.0,447.0,5874.0,1041.0,5.6,20.0,10.0,348.0,381.0,569.0,4179.0,29.0,10.0,7.1,212.0,453.0,1695.0,16.0,3.7,104.0,92.0,662.0,32.0,46.3,10.2,-13.96
3,4.0,Green Bay Packers,16.0,442.0,5798.0,999.0,5.8,32.0,11.0,315.0,310.0,473.0,3240.0,32.0,21.0,6.6,166.0,507.0,2558.0,18.0,5.0,127.0,88.0,699.0,22.0,38.0,15.6,-49.49
4,5.0,Tennessee Titans,16.0,435.0,5501.0,1013.0,5.4,21.0,12.0,310.0,315.0,502.0,3878.0,30.0,9.0,7.4,211.0,486.0,1623.0,11.0,3.3,84.0,110.0,887.0,15.0,39.4,9.6,-103.79
5,6.0,Minnesota Vikings,16.0,416.0,6294.0,1055.0,6.0,24.0,11.0,336.0,333.0,520.0,3951.0,32.0,13.0,7.0,194.0,493.0,2343.0,15.0,4.8,124.0,127.0,1029.0,18.0,35.5,13.1,8.32
6,7.0,Seattle Seahawks,16.0,404.0,5627.0,1017.0,5.5,29.0,13.0,338.0,317.0,521.0,3618.0,27.0,16.0,6.4,190.0,453.0,2009.0,17.0,4.4,121.0,91.0,777.0,27.0,36.2,13.5,-37.4
7,8.0,Baltimore Ravens,16.0,391.0,4929.0,1009.0,4.9,38.0,19.0,259.0,217.0,415.0,2255.0,16.0,19.0,4.9,121.0,552.0,2674.0,18.0,4.8,115.0,126.0,970.0,23.0,31.8,16.6,-220.5
8,9.0,San Francisco 49ers,16.0,384.0,5687.0,1038.0,5.5,25.0,10.0,313.0,299.0,511.0,3408.0,25.0,15.0,6.3,172.0,499.0,2279.0,16.0,4.6,118.0,104.0,807.0,23.0,35.1,12.4,-56.95
9,10.0,Denver Broncos,16.0,381.0,5598.0,1047.0,5.3,24.0,6.0,334.0,280.0,479.0,2969.0,19.0,18.0,5.9,162.0,543.0,2629.0,20.0,4.8,133.0,107.0,922.0,39.0,36.6,12.0,-127.67
10,11.0,Philadelphia Eagles,16.0,374.0,5035.0,944.0,5.3,22.0,11.0,302.0,279.0,484.0,3020.0,17.0,11.0,5.7,156.0,417.0,2015.0,23.0,4.8,105.0,96.0,817.0,41.0,34.2,10.2,-80.82
11,12.0,New England Patriots,16.0,348.0,5039.0,1042.0,4.8,24.0,11.0,294.0,320.0,537.0,3432.0,23.0,13.0,6.0,177.0,473.0,1607.0,9.0,3.4,91.0,111.0,998.0,26.0,27.9,11.3,-136.51
12,13.0,Cincinnati Bengals,16.0,346.0,5329.0,1038.0,5.1,22.0,7.0,313.0,324.0,520.0,3342.0,26.0,15.0,6.0,181.0,481.0,1987.0,12.0,4.1,101.0,107.0,846.0,31.0,33.3,11.1,-78.22
13,14.0,New Orleans Saints,16.0,340.0,5438.0,1019.0,5.3,28.0,20.0,302.0,314.0,535.0,3438.0,25.0,8.0,6.0,177.0,448.0,2000.0,11.0,4.5,100.0,103.0,878.0,25.0,31.2,14.5,-109.71
14,15.0,Carolina Panthers,16.0,325.0,5141.0,1008.0,5.1,31.0,15.0,284.0,270.0,460.0,3050.0,19.0,16.0,6.3,146.0,522.0,2091.0,9.0,4.0,114.0,116.0,966.0,24.0,30.8,14.9,-149.93
15,16.0,San Diego Chargers,16.0,313.0,5167.0,971.0,5.3,31.0,12.0,290.0,297.0,525.0,3021.0,21.0,19.0,5.5,146.0,417.0,2146.0,16.0,5.1,117.0,126.0,1016.0,27.0,27.2,15.7,-126.67
16,17.0,Miami Dolphins,16.0,311.0,4609.0,968.0,4.8,34.0,15.0,266.0,257.0,450.0,2792.0,17.0,19.0,5.8,145.0,487.0,1817.0,14.0,3.7,99.0,103.0,913.0,22.0,28.1,17.2,-177.92
17,18.0,Tampa Bay Buccaneers,16.0,301.0,5453.0,1036.0,5.3,31.0,9.0,307.0,369.0,592.0,3805.0,27.0,22.0,6.2,190.0,421.0,1648.0,5.0,3.9,86.0,117.0,1104.0,31.0,25.5,16.0,-214.9
18,19.0,Pittsburgh Steelers,16.0,300.0,4792.0,1020.0,4.7,28.0,11.0,275.0,306.0,532.0,3304.0,19.0,17.0,5.8,174.0,446.0,1488.0,10.0,3.3,77.0,111.0,1005.0,24.0,27.1,13.5,-166.93
19,20.0,Atlanta Falcons,16.0,299.0,4357.0,930.0,4.7,31.0,10.0,252.0,230.0,460.0,2408.0,14.0,21.0,4.9,127.0,435.0,1949.0,17.0,4.5,99.0,90.0,790.0,26.0,24.9,12.9,-190.61
