,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,Unnamed: 8_level_0,Unnamed: 9_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,Unnamed: 25_level_0,Unnamed: 26_level_0
,Rk,Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%
0,1.0,San Francisco 49ers,16.0,473.0,6435.0,1022.0,6.3,30.0,13.0,372.0,354.0,524.0,4302.0,29.0,17.0,7.7,212.0,463.0,2133.0,26.0,4.6,134.0,95.0,800.0,26.0,,
1,2.0,Dallas Cowboys,16.0,376.0,5615.0,994.0,5.6,22.0,16.0,322.0,317.0,475.0,3454.0,18.0,6.0,6.9,172.0,490.0,2161.0,20.0,4.4,120.0,94.0,744.0,30.0,,
2,3.0,Denver Broncos,16.0,373.0,5461.0,1060.0,5.2,28.0,18.0,327.0,350.0,553.0,3768.0,27.0,10.0,6.4,187.0,468.0,1693.0,13.0,3.6,105.0,112.0,822.0,35.0,,
3,4.0,Houston Oilers,16.0,368.0,5658.0,1066.0,5.3,45.0,20.0,330.0,357.0,614.0,3866.0,23.0,25.0,5.9,208.0,409.0,1792.0,11.0,4.4,101.0,132.0,1005.0,21.0,,
4,5.0,Miami Dolphins,16.0,349.0,5812.0,1030.0,5.6,34.0,16.0,309.0,342.0,581.0,4353.0,27.0,18.0,7.1,207.0,419.0,1459.0,10.0,3.5,85.0,81.0,663.0,17.0,,
5,6.0,Green Bay Packers,16.0,340.0,4750.0,1006.0,4.7,34.0,10.0,282.0,322.0,528.0,3131.0,19.0,24.0,5.6,166.0,448.0,1619.0,14.0,3.6,98.0,85.0,734.0,18.0,,
6,7.0,Buffalo Bills,16.0,329.0,5260.0,1078.0,4.9,35.0,17.0,316.0,304.0,497.0,3317.0,20.0,18.0,6.3,176.0,550.0,1943.0,12.0,3.5,117.0,94.0,630.0,23.0,,
7,8.0,Kansas City Chiefs,16.0,328.0,4835.0,970.0,5.0,28.0,18.0,300.0,287.0,490.0,3180.0,20.0,10.0,6.1,180.0,445.0,1655.0,14.0,3.7,94.0,121.0,969.0,26.0,,
8,9.0,Phoenix Cardinals,16.0,326.0,5213.0,1007.0,5.2,31.0,11.0,295.0,310.0,522.0,3404.0,21.0,20.0,6.1,173.0,452.0,1809.0,12.0,4.0,107.0,77.0,644.0,15.0,,
9,10.0,San Diego Chargers,16.0,322.0,4967.0,1050.0,4.7,19.0,5.0,313.0,301.0,563.0,3143.0,18.0,14.0,5.3,171.0,455.0,1824.0,14.0,4.0,120.0,87.0,699.0,22.0,,
10,11.0,New Orleans Saints,16.0,317.0,4707.0,935.0,5.0,34.0,13.0,264.0,274.0,481.0,2941.0,18.0,21.0,5.6,158.0,414.0,1766.0,10.0,4.3,94.0,81.0,663.0,12.0,,
11,12.0,Atlanta Falcons,16.0,316.0,5110.0,1008.0,5.1,42.0,17.0,292.0,334.0,573.0,3520.0,28.0,25.0,5.7,185.0,395.0,1590.0,4.0,4.0,91.0,111.0,838.0,16.0,,
12,13.0,Pittsburgh Steelers,16.0,308.0,5235.0,1079.0,4.9,27.0,15.0,307.0,299.0,540.0,3232.0,16.0,12.0,5.5,180.0,491.0,2003.0,13.0,4.1,116.0,100.0,861.0,11.0,,
13,14.0,Los Angeles Raiders,16.0,306.0,5014.0,978.0,5.1,25.0,11.0,292.0,281.0,495.0,3589.0,17.0,14.0,6.6,168.0,433.0,1425.0,10.0,3.3,95.0,148.0,1181.0,29.0,,
14,15.0,Cleveland Browns,16.0,304.0,4740.0,948.0,5.0,36.0,17.0,264.0,262.0,478.0,3039.0,23.0,19.0,5.8,152.0,425.0,1701.0,8.0,4.0,91.0,121.0,842.0,21.0,,
15,16.0,Detroit Lions,16.0,298.0,4658.0,937.0,5.0,32.0,13.0,248.0,264.0,435.0,2714.0,15.0,19.0,5.6,139.0,456.0,1944.0,9.0,4.3,101.0,93.0,665.0,8.0,,
16,17.0,Philadelphia Eagles,16.0,293.0,4922.0,1054.0,4.7,34.0,21.0,303.0,328.0,556.0,3161.0,23.0,13.0,5.3,184.0,456.0,1761.0,7.0,3.9,104.0,101.0,770.0,15.0,,
17,18.0,New York Giants,16.0,288.0,5145.0,1024.0,5.0,17.0,8.0,300.0,257.0,424.0,2935.0,17.0,9.0,6.3,153.0,560.0,2210.0,11.0,3.9,127.0,90.0,596.0,20.0,,
18,19.0,Seattle Seahawks,16.0,280.0,4669.0,1019.0,4.6,31.0,13.0,279.0,280.0,498.0,2654.0,13.0,18.0,4.9,144.0,473.0,2015.0,13.0,4.3,114.0,99.0,745.0,21.0,,
19,20.0,Minnesota Vikings,16.0,277.0,4824.0,1008.0,4.8,24.0,10.0,283.0,315.0,526.0,3200.0,18.0,14.0,5.7,182.0,447.0,1624.0,8.0,3.6,85.0,109.0,806.0,16.0,,
20,21.0,New York Jets,16.0,270.0,5212.0,1031.0,5.1,28.0,16.0,304.0,294.0,489.0,3332.0,16.0,12.0,6.5,173.0,521.0,1880.0,14.0,3.6,106.0,86.0,555.0,25.0,,
21,22.0,New England Patriots,16.0,238.0,5065.0,1091.0,4.6,34.0,10.0,315.0,289.0,566.0,3285.0,17.0,24.0,5.6,169.0,502.0,1780.0,9.0,3.5,116.0,64.0,468.0,30.0,,
22,23.0,Tampa Bay Buccaneers,16.0,237.0,4311.0,949.0,4.5,36.0,11.0,241.0,262.0,508.0,3021.0,19.0,25.0,5.5,141.0,402.0,1290.0,6.0,3.2,80.0,89.0,765.0,20.0,,
23,24.0,Chicago Bears,16.0,234.0,3717.0,913.0,4.1,30.0,14.0,226.0,230.0,388.0,2040.0,7.0,16.0,4.7,113.0,477.0,1677.0,10.0,3.5,98.0,68.0,587.0,15.0,,
24,25.0,Washington Redskins,16.0,230.0,4273.0,969.0,4.4,31.0,10.0,255.0,287.0,533.0,2545.0,11.0,21.0,4.4,143.0,396.0,1728.0,11.0,4.4,92.0,90.0,597.0,20.0,,
25,26.0,Los Angeles Rams,16.0,221.0,4804.0,953.0,5.0,30.0,11.0,278.0,247.0,473.0,2790.0,16.0,19.0,5.5,147.0,449.0,2014.0,8.0,4.5,117.0,71.0,526.0,14.0,,
26,27.0,Indianapolis Colts,16.0,189.0,4705.0,988.0,4.8,35.0,20.0,269.0,332.0,594.0,3417.0,10.0,15.0,5.5,180.0,365.0,1288.0,4.0,3.5,71.0,94.0,685.0,18.0,,
27,28.0,Cincinnati Bengals,16.0,187.0,4052.0,986.0,4.1,20.0,9.0,239.0,272.0,510.0,2541.0,11.0,11.0,4.5,133.0,423.0,1511.0,3.0,3.6,89.0,105.0,773.0,17.0,,
